product_id,product_taxonomies,action,elasticity_type,current_discount_pct,recommended_discount_pct,base_revenue,base_profit,simulated_revenue,simulated_profit,estimated_discount_cost
P043,fresh_food,Keep Current,elastic,0.0,0,185489.1,68630.97,185489.1,68630.97,0.0
P044,fresh_food,Reduce Discount,inelastic,13.4,0,150948.35,53337.41,174305.25,76694.31,0.0
P045,fresh_food,Reduce Discount,inelastic,18.9,0,37621.24,12107.45,46388.7,20874.91,0.0
P046,fresh_food,Keep Current,inelastic,0.0,0,103722.72,43563.54,103722.72,43563.54,0.0
P047,fresh_food,Keep Current,inelastic,0.0,0,35902.13,12565.75,35902.13,12565.75,0.0
P048,fresh_food,Reduce Discount,elastic,1.4,0,53089.91,21860.55,53843.72,22614.36,0.0
P049,fresh_food,Reduce Discount,inelastic,6.3,0,93554.43,42633.66,99844.64,48923.87,0.0
P050,fresh_food,Keep Current,inelastic,0.0,0,128795.58,63109.83,128795.58,63109.83,0.0
P051,fresh_food,Keep Current,inelastic,0.0,0,302802.64,139289.21,302802.64,139289.21,0.0
P052,fresh_food,Reduce Discount,inelastic,7.4,0,54059.14,16112.66,58379.2,20432.72,0.0
P053,dry_food,Reduce Discount,inelastic,2.9,0,114111.5,37723.78,117519.57,41131.85,0.0
P054,dry_food,Keep Current,inelastic,0.0,0,279621.51,111848.6,279621.51,111848.6,0.0
P055,unknown,Reduce Discount,inelastic,3.6,0,216934.94,77412.47,225036.24,85513.77,0.0
P056,dry_food,Reduce Discount,inelastic,6.9,0,259842.62,95173.29,279100.56,114431.23,0.0
P057,dry_food,Reduce Discount,inelastic,6.4,0,28069.89,9176.7,29989.2,11096.0,0.0
P058,dry_food,Keep Current,elastic,0.0,0,8317.92,3160.81,8317.92,3160.81,0.0
P059,dry_food,Reduce Discount,inelastic,10.7,0,187873.98,67954.42,210385.2,90465.64,0.0
P060,dry_food,Reduce Discount,inelastic,4.1,0,83110.39,25045.78,86663.6,28598.99,0.0
P061,dry_food,Reduce Discount,inelastic,1.8,0,117806.57,50625.64,119965.96,52785.02,0.0
P062,dry_food,Reduce Discount,inelastic,20.7,0,69352.6,18628.13,87455.99,36731.52,0.0
P063,dry_food,Reduce Discount,inelastic,11.0,0,331086.57,100441.99,372007.38,141362.8,0.0
P064,dry_food,Keep Current,elastic,0.0,0,25219.92,11096.76,25219.92,11096.76,0.0
P065,dry_food,Reduce Discount,inelastic,6.2,0,218508.98,71749.22,232952.0,86192.24,0.0
P066,dry_food,Reduce Discount,inelastic,2.0,0,105499.43,36601.84,107652.48,38754.89,0.0
P067,household,Keep Current,inelastic,0.0,0,309910.72,96072.32,309910.72,96072.32,0.0
P068,household,Reduce Discount,inelastic,7.0,0,11531.6,3843.87,12399.57,4711.84,0.0
P069,household,Reduce Discount,inelastic,10.2,0,165903.93,55054.98,184748.25,73899.3,0.0
P070,household,Reduce Discount,inelastic,6.9,0,163849.96,58253.85,175993.51,70397.4,0.0
P071,household,Keep Current,inelastic,0.0,0,70035.2,22411.26,70035.2,22411.26,0.0
P072,household,Keep Current,inelastic,0.0,0,71969.85,22310.65,71969.85,22310.65,0.0
P073,household,Reduce Discount,inelastic,7.0,0,102166.3,26365.5,109856.24,34055.43,0.0
P074,household,Keep Current,inelastic,0.0,0,338842.77,108429.69,338842.77,108429.69,0.0
P075,household,Reduce Discount,inelastic,3.7,0,33173.69,11126.79,34448.28,12401.38,0.0
P076,unknown,Keep Current,inelastic,0.0,0,91800.03,25704.01,91800.03,25704.01,0.0
P077,household,Reduce Discount,inelastic,8.5,0,231123.35,59359.55,252593.82,80830.02,0.0
P078,household,Keep Current,elastic,0.0,0,104978.86,34643.02,104978.86,34643.02,0.0
P079,household,Keep Current,inelastic,0.0,0,59167.76,18342.01,59167.76,18342.01,0.0
P080,household,Keep Current,inelastic,0.0,0,21537.36,6891.96,21537.36,6891.96,0.0
